name,html_name,weapon,skin,condition,weapon_type,quality,category,name_color,sell_listings,sell_price,sell_price_text
CZ75-Auto | Tacticat (Minimal Wear),CZ75-Auto%20%7C%20Tacticat%20%28Minimal%20Wear%29,CZ75-Auto,Tacticat,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,595,60,$0.60 
CZ75-Auto | Tacticat (Well-Worn),CZ75-Auto%20%7C%20Tacticat%20%28Well-Worn%29,CZ75-Auto,Tacticat,Well-Worn,Pistol,Restricted,Normal,D2D2D2,178,35,$0.35 
CZ75-Auto | The Fuschia Is Now (Factory New),CZ75-Auto%20%7C%20The%20Fuschia%20Is%20Now%20%28Factory%20New%29,CZ75-Auto,The Fuschia Is Now,Factory New,Pistol,Classified,Normal,D2D2D2,54,5018,$50.18 
CZ75-Auto | The Fuschia Is Now (Field-Tested),CZ75-Auto%20%7C%20The%20Fuschia%20Is%20Now%20%28Field-Tested%29,CZ75-Auto,The Fuschia Is Now,Field-Tested,Pistol,Classified,Normal,D2D2D2,24,2038,$20.38 
CZ75-Auto | The Fuschia Is Now (Minimal Wear),CZ75-Auto%20%7C%20The%20Fuschia%20Is%20Now%20%28Minimal%20Wear%29,CZ75-Auto,The Fuschia Is Now,Minimal Wear,Pistol,Classified,Normal,D2D2D2,20,3164,$31.64 
CZ75-Auto | The Fuschia Is Now (Well-Worn),CZ75-Auto%20%7C%20The%20Fuschia%20Is%20Now%20%28Well-Worn%29,CZ75-Auto,The Fuschia Is Now,Well-Worn,Pistol,Classified,Normal,D2D2D2,5,3600,$36.00 
CZ75-Auto | Tigris (Battle-Scarred),CZ75-Auto%20%7C%20Tigris%20%28Battle-Scarred%29,CZ75-Auto,Tigris,Battle-Scarred,Pistol,Restricted,Normal,D2D2D2,176,34,$0.34 
CZ75-Auto | Tigris (Factory New),CZ75-Auto%20%7C%20Tigris%20%28Factory%20New%29,CZ75-Auto,Tigris,Factory New,Pistol,Restricted,Normal,D2D2D2,111,119,$1.19 
CZ75-Auto | Tigris (Field-Tested),CZ75-Auto%20%7C%20Tigris%20%28Field-Tested%29,CZ75-Auto,Tigris,Field-Tested,Pistol,Restricted,Normal,D2D2D2,448,39,$0.39 
CZ75-Auto | Tigris (Minimal Wear),CZ75-Auto%20%7C%20Tigris%20%28Minimal%20Wear%29,CZ75-Auto,Tigris,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,359,60,$0.60 
